method,score_col,threshold,event_detection_rate,median_lead_minutes,warning_precision_event,false_windows_per_event_day,active_minutes_per_event_day,normal_warning_windows,false_windows_per_normal_day,active_minutes_per_normal_day
CO-gated HGNN,route2_hgnn_gate_fine_0p023,0.018,0.8823529411764706,191.0,0.6666666666666666,2.0,420.3125,0,0.0,0.0
Low-temperature consensus rescue,batchG_base_or_h052_r072_co_n010_n002_kht_le190,0.018,0.9411764705882352,196.5,0.7083333333333334,1.75,429.2708333333333,0,0.0,0.0
